Player,Height w/o Shoes,Height w/ Shoes,Weight (lbs),Wingspan,Standing Reach,Vertical Jump,Run Jump,Run Jump Touch,185lb Bench,Bench Max,Squat Max,3/4 Court Sprint,Body Fat % (Dexa),
Kosy Akametu,6'4,6'5.25,215,6'8.25,8'4.25,32.5,43,11'11.5,16,265,335,2.967,4.5,Checked
Tyeree Bryan,6'4,"6'5""",215,6'8.75,8'7.5,31,38.5,11'10,11,225,245,2.971,10.1,Checked
Jacob Ensminger,6'8.25,6'9,211,6'6,8'7.5,27,35.5,11'4,7,225,245,3.153,8,checked
Christian Hammond,6'2.25,6'3.5,195,6'3.5,8'2.5,24,31.5,10'10,9,225,275,3.171,9,checked
Brenton Knapper,5'10.25,5'11.25,170,6'1.5,8'1,28.5,40,11'2,10,215,315,2.996,7,checked
Johnny O'Neil,6'10,6'10.75,215,6'10.5,9'1,26,31,11'8,5,195,225,3.242,6.5,checked
Christoph Tilly,6'11.5,7'0.5,240,9'3,9'3,24,29.5,11'8.5,7,225,275,3.231,7.8,checked
Cam Tongue,6'5.5,6'6.25,230,6'10,8'6,27.5,34,11'8.5,15,245,335,3.049,9.6,Checked
Luke McEldon,6'9.5,6'10.5,280,7'1,,,,11'5.5,13,245,,,17,Checked
Bukky Oboye,7'0,7'1,208,7'4,9'5.5,32,45,13'2.5,3,205,215,2.996,5.5,Checked
Adama Bal,6'5.75,6'6.5,204,6'10,8'7,30,35,11'6,3,205,275,3.067,9.8,Checked
Allen Graves,6'7.75,6'8.75,220,7'0,9'0,25.5,35.5,11'11.5,5,205,275,3.115,12.7,Checked
Elijah Mahi,6'5.25,6'6.25,220,6'10,8'7,NaN,NaN,NaN,7,225,NaN,NaN,9.8,Checked